Schlüssel-Profilmap,Profilnummer,Buchungskreis,Sparte,Profilname,Profiltyp,ProfilID (SBP),SBPNomenklatur,ProfilID (SBP) Map SigLinDe,SBPNomenklaturMapSigLinDE,Stand
,1100043244,,Strom,G01 von VNB SVN0001689 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043245,,Strom,G0 von VNB SVN0001675 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043246,,Strom,G0 von VNB SVN0000715 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043248,,Strom,H0 von VNB SVN0001010 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043249,,Strom,G0 von VNB SVN0001010 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043250,,Strom,BND von VNB SVN0000288 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043256,,Strom,H0 von VNB SVN0001164 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043261,,Strom,G0 von VNB SVN0000111 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043262,,Strom,G0 von VNB SVN0000352 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043263,,Strom,G0 von VNB SVN0000367 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043265,,Strom,G0 von VNB SVN0000546 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043267,,Strom,G0 von VNB SVN0000672 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043270,,Strom,G0 von VNB SVN0001027 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043272,,Strom,G0 von VNB SVN0001116 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
