Schlüssel-Profilmap,Profilnummer,Buchungskreis,Sparte,Profilname,Profiltyp,ProfilID (SBP),SBPNomenklatur,ProfilID (SBP) Map SigLinDe,SBPNomenklaturMapSigLinDE,Stand
,1100036185,,Strom,H0 von VNB SVN0001173 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036193,,Strom,G1 von VNB SVN0001177 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036195,,Strom,G3 von VNB SVN0001177 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036205,,Strom,EB0 von VNB SVN0001178 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036208,,Strom,G0 von VNB SVN0001178 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036209,,Strom,H0 von VNB SVN0001178 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036213,,Strom,G1 von VNB SVN0001183 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036215,,Strom,G3 von VNB SVN0001183 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036216,,Strom,G4 von VNB SVN0001183 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036219,,Strom,G7 von VNB SVN0001183 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036224,,Strom,G0 von VNB SVN0001194 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036225,,Strom,G1 von VNB SVN0001194 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036231,,Strom,H0 von VNB SVN0001194 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036236,,Strom,G0 von VNB SVN0001195 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036237,,Strom,G1 von VNB SVN0001195 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036238,,Strom,G2 von VNB SVN0001195 an LIEF SLF9000506,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100036243,,Strom,H0 von VNB SVN0001195 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036249,,Strom,G0 von VNB SVN0001206 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036250,,Strom,G1 von VNB SVN0001206 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036251,,Strom,G2 von VNB SVN0001206 an LIEF SLF9000506,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100036252,,Strom,G3 von VNB SVN0001206 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036253,,Strom,G4 von VNB SVN0001206 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036254,,Strom,G5 von VNB SVN0001206 an LIEF SLF9000506,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100036255,,Strom,G6 von VNB SVN0001206 an LIEF SLF9000506,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1100036256,,Strom,H0 von VNB SVN0001206 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036257,,Strom,L0 von VNB SVN0001206 an LIEF SLF9000506,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1100036258,,Strom,BE von VNB SVN0001206 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036262,,Strom,BAL von VNB SVN0001211 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036263,,Strom,G0 von VNB SVN0001211 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036264,,Strom,G1 von VNB SVN0001211 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036266,,Strom,G3 von VNB SVN0001211 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036267,,Strom,G4 von VNB SVN0001211 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036276,,Strom,G0 von VNB SVN0001214 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036277,,Strom,G1 von VNB SVN0001214 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036278,,Strom,G2 von VNB SVN0001214 an LIEF SLF9000506,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100036279,,Strom,G3 von VNB SVN0001214 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036295,,Strom,G1 von VNB SVN0001216 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036297,,Strom,G3 von VNB SVN0001216 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036298,,Strom,G4 von VNB SVN0001216 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036312,,Strom,G0 von VNB SVN0001231 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036313,,Strom,G1 von VNB SVN0001231 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036315,,Strom,G3 von VNB SVN0001231 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036316,,Strom,G4 von VNB SVN0001231 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036320,,Strom,H0 von VNB SVN0001231 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036329,,Strom,HSH von VNB SVN0001248 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036332,,Strom,G0 von VNB SVN0001248 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036333,,Strom,G1 von VNB SVN0001248 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036335,,Strom,G3 von VNB SVN0001248 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036336,,Strom,G4 von VNB SVN0001248 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036340,,Strom,G0G von VNB SVN0001273 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036341,,Strom,G1G von VNB SVN0001273 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036345,,Strom,G5G von VNB SVN0001273 an LIEF SLF9000506,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100036347,,Strom,H0G von VNB SVN0001273 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036370,,Strom,G0 von VNB SVN0001294 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036371,,Strom,G1 von VNB SVN0001294 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036373,,Strom,G3 von VNB SVN0001294 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036377,,Strom,H0 von VNB SVN0001294 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036387,,Strom,FU von VNB SVN0001298 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036388,,Strom,G0 von VNB SVN0001298 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036389,,Strom,G1 von VNB SVN0001298 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036391,,Strom,G3 von VNB SVN0001298 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036392,,Strom,G4 von VNB SVN0001298 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036395,,Strom,H0 von VNB SVN0001298 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036403,,Strom,BP von VNB SVN0001310 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036405,,Strom,G0 von VNB SVN0001310 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036413,,Strom,G3 von VNB SVN0001314 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036428,,Strom,HSH von VNB SVN0001325 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036431,,Strom,G0 von VNB SVN0001325 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036438,,Strom,L0 von VNB SVN0001325 an LIEF SLF9000506,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1100036441,,Strom,G0 von VNB SVN0001332 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036442,,Strom,G1 von VNB SVN0001332 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036444,,Strom,G3 von VNB SVN0001332 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036449,,Strom,HSH von VNB SVN0001332 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036462,,Strom,BAN von VNB SVN0001378 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036464,,Strom,UVE von VNB SVN0001378 an LIEF SLF9000506,Nachtspeicherheizung getrennte Messung,N21,N21,N21,N21,2019-04-13 00:00:00
,1100036466,,Strom,G0 von VNB SVN0001389 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036468,,Strom,H0 von VNB SVN0001389 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036471,,Strom,GWL von VNB SVN0001396 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036479,,Strom,G0 von VNB SVN0001397 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036482,,Strom,G3 von VNB SVN0001397 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036486,,Strom,H0 von VNB SVN0001397 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036499,,Strom,G1 von VNB SVN0001427 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036501,,Strom,G3 von VNB SVN0001427 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036502,,Strom,G4 von VNB SVN0001427 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036505,,Strom,H0 von VNB SVN0001427 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036509,,Strom,EB0 von VNB SVN0001430 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036511,,Strom,G01 von VNB SVN0001430 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036512,,Strom,G11 von VNB SVN0001430 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036522,,Strom,B0H von VNB SVN0001446 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036524,,Strom,G1H von VNB SVN0001446 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036526,,Strom,G3H von VNB SVN0001446 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036529,,Strom,H0H von VNB SVN0001446 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036539,,Strom,G3 von VNB SVN0001460 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036541,,Strom,H0 von VNB SVN0001460 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036544,,Strom,G1 von VNB SVN0001461 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036545,,Strom,H0 von VNB SVN0001467 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036546,,Strom,G1 von VNB SVN0001473 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036547,,Strom,H0 von VNB SVN0001473 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036549,,Strom,G1 von VNB SVN0001475 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036551,,Strom,G3 von VNB SVN0001475 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036555,,Strom,H0 von VNB SVN0001475 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036559,,Strom,G01 von VNB SVN0001478 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036562,,Strom,G1 von VNB SVN0001482 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036564,,Strom,G3 von VNB SVN0001482 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036565,,Strom,G4 von VNB SVN0001482 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036573,,Strom,G0 von VNB SVN0001484 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036574,,Strom,G1 von VNB SVN0001484 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036578,,Strom,G7 von VNB SVN0001484 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036581,,Strom,HSH von VNB SVN0001484 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036584,,Strom,G0 von VNB SVN0001486 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036585,,Strom,G1 von VNB SVN0001486 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036595,,Strom,G0 von VNB SVN0001487 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036596,,Strom,G1 von VNB SVN0001487 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036601,,Strom,HSH von VNB SVN0001487 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036609,,Strom,G0 von VNB SVN0001497 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036611,,Strom,G0 von VNB SVN0001509 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036613,,Strom,G3 von VNB SVN0001509 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036618,,Strom,G4 von VNB SVN0001509 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036622,,Strom,BL1 von VNB SVN0001511 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036623,,Strom,G0 von VNB SVN0001511 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036624,,Strom,G1 von VNB SVN0001511 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036626,,Strom,G3 von VNB SVN0001511 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036637,,Strom,G0 von VNB SVN0001519 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036638,,Strom,G1 von VNB SVN0001519 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036653,,Strom,G21 von VNB SVN0001525 an LIEF SLF9000506,Gewerbe,G21,G21,G21,G21,2019-04-13 00:00:00
,1100036656,,Strom,G0 von VNB SVN0001526 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036657,,Strom,G3 von VNB SVN0001526 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036658,,Strom,G4 von VNB SVN0001526 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036659,,Strom,G5 von VNB SVN0001526 an LIEF SLF9000506,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100036661,,Strom,H0 von VNB SVN0001526 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036665,,Strom,G2 von VNB SVN0001526 an LIEF SLF9000506,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100036667,,Strom,G0 von VNB SVN0001528 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036668,,Strom,G1 von VNB SVN0001528 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036670,,Strom,G5 von VNB SVN0001528 an LIEF SLF9000506,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100036673,,Strom,HSH von VNB SVN0001528 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036678,,Strom,G3 von VNB SVN0001528 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036687,,Strom,G00 von VNB SVN0001534 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036688,,Strom,G1 von VNB SVN0001537 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036689,,Strom,G4 von VNB SVN0001537 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036694,,Strom,G0 von VNB SVN0001537 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036698,,Strom,G3 von VNB SVN0001537 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036700,,Strom,H0 von VNB SVN0001537 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036701,,Strom,G4 von VNB SVN0001543 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036702,,Strom,B0 von VNB SVN0001545 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036718,,Strom,G0 von VNB SVN0001565 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036719,,Strom,G1 von VNB SVN0001565 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036724,,Strom,G1 von VNB SVN0001567 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036725,,Strom,G3 von VNB SVN0001567 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036726,,Strom,G4 von VNB SVN0001567 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036727,,Strom,H0 von VNB SVN0001567 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036729,,Strom,G0 von VNB SVN0001567 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036735,,Strom,G0S von VNB SVN0001574 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036736,,Strom,G1S von VNB SVN0001574 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036738,,Strom,G3S von VNB SVN0001574 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036753,,Strom,G0 von VNB SVN0001582 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036754,,Strom,G1 von VNB SVN0001582 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036756,,Strom,G3 von VNB SVN0001582 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036760,,Strom,H0 von VNB SVN0001582 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036763,,Strom,G0F von VNB SVN0001589 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036764,,Strom,G1F von VNB SVN0001589 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036766,,Strom,G3F von VNB SVN0001589 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036776,,Strom,EB0 von VNB SVN0001591 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036782,,Strom,EBY von VNB SVN0001595 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036783,,Strom,G0Y von VNB SVN0001595 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036784,,Strom,G1Y von VNB SVN0001595 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036785,,Strom,G2Y von VNB SVN0001595 an LIEF SLF9000506,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1100036786,,Strom,G3Y von VNB SVN0001595 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036787,,Strom,G4Y von VNB SVN0001595 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100036788,,Strom,G5Y von VNB SVN0001595 an LIEF SLF9000506,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1100036789,,Strom,G6Y von VNB SVN0001595 an LIEF SLF9000506,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1100036790,,Strom,H0Y von VNB SVN0001595 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036791,,Strom,HGY von VNB SVN0001595 an LIEF SLF9000506,Speicherheizung,HBY,HBY,HBY,HBY,2019-04-13 00:00:00
,1100036792,,Strom,HZY von VNB SVN0001595 an LIEF SLF9000506,Speicherheizung,HBY,HBY,HBY,HBY,2019-04-13 00:00:00
,1100036796,,Strom,EBB von VNB SVN0001595 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036800,,Strom,G3B von VNB SVN0001595 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036804,,Strom,H0B von VNB SVN0001595 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036820,,Strom,G3 von VNB SVN0001597 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036822,,Strom,H0 von VNB SVN0001597 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036831,,Strom,G0 von VNB SVN0001602 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036832,,Strom,G1 von VNB SVN0001602 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036833,,Strom,G3 von VNB SVN0001602 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036843,,Strom,G0 von VNB SVN0001604 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036844,,Strom,G1 von VNB SVN0001604 an LIEF SLF9000506,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1100036846,,Strom,G3 von VNB SVN0001604 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036854,,Strom,G0 von VNB SVN0001606 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036857,,Strom,G3 von VNB SVN0001606 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100036861,,Strom,H0 von VNB SVN0001606 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036868,,Strom,BN von VNB SVN0001611 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036869,,Strom,G0 von VNB SVN0001611 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036872,,Strom,H0 von VNB SVN0001611 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100036890,,Strom,BND von VNB SVN0001634 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100036891,,Strom,G0 von VNB SVN0001634 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100036902,,Strom,G0 von VNB SVN0001637 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
