holidaycalendar,holiday,description,creationname,creationdate,revisionname,revisiondate
Argus Europe WKD,2003-01-01 00:00:00,New Year's Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-04-18 00:00:00,Good Friday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-04-21 00:00:00,Easter Monday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-05-05 00:00:00,May Day Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-08-25 00:00:00,Bank Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-12-25 00:00:00,Christmas,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2003-12-26 00:00:00,Boxing Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-01-01 00:00:00,New Year's Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-04-09 00:00:00,Good Friday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-04-12 00:00:00,Easter Monday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-05-03 00:00:00,May Day Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-08-30 00:00:00,Bank Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-12-27 00:00:00,Christmas,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2004-12-28 00:00:00,Boxing Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-01-03 00:00:00,New Year's Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-03-25 00:00:00,Good Friday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-03-28 00:00:00,Easter Monday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-05-02 00:00:00,May Day Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-08-29 00:00:00,Bank Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-12-26 00:00:00,Christmas,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2005-12-27 00:00:00,Boxing Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-01-02 00:00:00,New Year's Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-04-14 00:00:00,Good Friday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-04-17 00:00:00,Easter Monday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-05-01 00:00:00,May Day Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-08-28 00:00:00,Bank Holiday,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-12-25 00:00:00,Christmas,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2006-12-26 00:00:00,Boxing Day,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-01-01 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-04-06 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-04-09 00:00:00,NG: No report or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-05-07 00:00:00,NG: No report or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
